Term	Genes	P.value	Adjusted.P.value
negative regulation of inflammatory response (GO:0050728)	HCK;RAMP2;SYK;PLCG2;TNFAIP8L2;TNFRSF1B	0.0013027748323174257	0.013403124122316567
lymphocyte differentiation (GO:0030098)	VCAM1;PTPRC;PLCG2;IKZF1	0.0013167196162911256	0.013432753060314507
B cell activation (GO:0042113)	CD86;VCAM1;PTPRC;PLCG2	0.0013757894947207926	0.013754961579852449
regulation of cell activation (GO:0050865)	FCER1G;SYK	0.0013822943268056002	0.013754961579852449
regulation of cell-cell adhesion mediated by integrin (GO:0033632)	CCL5;FERMT3	0.0013822943268056002	0.013754961579852449
metal ion transport (GO:0030001)	RAMP2;CCL8;SLC11A1;CCL5	0.0015640738460885914	0.015437281700419104
negative regulation of interleukin-17 production (GO:0032700)	NCKAP1L;VSIR	0.001683242577714899	0.015964503823014745
regulation of CD4-positive, alpha-beta T cell proliferation (GO:2000561)	VSIR;TGFBR2	0.001683242577714899	0.015964503823014745
cellular response to interleukin-2 (GO:0071352)	SYK;IL2RG	0.001683242577714899	0.015964503823014745
interleukin-2-mediated signaling pathway (GO:0038110)	SYK;IL2RG	0.001683242577714899	0.015964503823014745
T cell homeostasis (GO:0043029)	FAS;NCKAP1L	0.001683242577714899	0.015964503823014745
regulation of peptidyl-tyrosine phosphorylation (GO:0050730)	CD74;PTPRC;ITGB2;PLCG2	0.0018420668062693445	0.01733541940163554
response to amyloid-beta (GO:1904645)	VCAM1;FCGR2B;ICAM1	0.001964926873604803	0.01834939403504793
apoptotic process (GO:0006915)	NFKBIA;IRF1;ITGB2;FAS;CD14;TGFBR2	0.002012248359539511	0.018369259051266316
positive regulation of myeloid leukocyte mediated immunity (GO:0002888)	ITGAM;ITGB2	0.002012447655534119	0.018369259051266316
positive regulation of T-helper 1 type immune response (GO:0002827)	IL1R1;SLC11A1	0.002012447655534119	0.018369259051266316
positive regulation of defense response (GO:0031349)	NFKBIA;CEBPA;CCL5;TLR7	0.002320619164134384	0.02075473457677033
regulation of ERK1 and ERK2 cascade (GO:0070372)	CD74;PTPRC;CCL8;SYK;CCL5;ICAM1	0.002336381347337562	0.02075473457677033
regulation of homotypic cell-cell adhesion (GO:0034110)	SYK;CCL5	0.0023695863715329207	0.02075473457677033
positive regulation of CD4-positive, alpha-beta T cell activation (GO:2000516)	NCKAP1L;TGFBR2	0.0023695863715329207	0.02075473457677033
macrophage activation involved in immune response (GO:0002281)	SYK;PLCG2	0.0023695863715329207	0.02075473457677033
regulation of T cell activation (GO:0050863)	CCL5;TNFAIP8L2;TNFRSF1B	0.002376365820569255	0.02075473457677033
regulation of MAPK cascade (GO:0043408)	CD74;PTPRC;SYK;PLCG2;FAS	0.002531633145997348	0.021952875994577
cellular response to mechanical stimulus (GO:0071260)	IRF1;FAS;TLR7	0.0026781109781815046	0.022746711630697306
negative regulation of neuroinflammatory response (GO:0150079)	PTPRC;TNFRSF1B	0.0027543382287582405	0.022746711630697306
negative regulation of secretion (GO:0051048)	CD74;TIFAB	0.0027543382287582405	0.022746711630697306
negative regulation of T cell differentiation (GO:0045581)	LAG3;IRF1	0.0027543382287582405	0.022746711630697306
regulation of macrophage cytokine production (GO:0010935)	CD74;PLCG2	0.0027543382287582405	0.022746711630697306
positive regulation of alpha-beta T cell differentiation (GO:0046638)	NCKAP1L;TGFBR2	0.0027543382287582405	0.022746711630697306
positive regulation of type 2 immune response (GO:0002830)	CD86;CD74	0.0027543382287582405	0.022746711630697306
regulation of complement activation (GO:0030449)	C1QB;C1QA;C1QC	0.002837432470264575	0.02327461499257564
positive regulation of cellular process (GO:0048522)	CD86;HCK;FCER1G;SLC11A1;CCL5;TNFRSF1B;IL2RG;MERTK;FCGR2B;TGFBR2	0.002866770776415867	0.02335744780247559
positive regulation of ERK1 and ERK2 cascade (GO:0070374)	CD74;PTPRC;CCL8;CCL5;ICAM1	0.0029503023177400896	0.02387778009157646
positive regulation of phosphorylation (GO:0042327)	CD74;CCL5;TMEM119;FAS;NCKAP1L;MERTK	0.003162063840345981	0.025179086401985875
negative regulation of leukocyte mediated cytotoxicity (GO:0001911)	PTPRC;FCGR2B	0.0031663854030102106	0.025179086401985875
plasma membrane bounded cell projection morphogenesis (GO:0120039)	SNX1;NCKAP1L;SGK1	0.0031733115481909708	0.025179086401985875
positive regulation of chemokine production (GO:0032722)	CD74;SYK;TLR7	0.003349999455868903	0.02623806025435386
positive regulation of NIK/NF-kappaB signaling (GO:1901224)	CD86;TLR7;CD14	0.003349999455868903	0.02623806025435386
basement membrane organization (GO:0071711)	RAMP2;CTSS	0.0036054127233747734	0.027018339791215897
negative regulation of macrophage activation (GO:0043031)	PTPRC;FCGR2B	0.0036054127233747734	0.027018339791215897
regulation of mast cell degranulation (GO:0043304)	CD84;SYK	0.0036054127233747734	0.027018339791215897
eosinophil chemotaxis (GO:0048245)	CCL8;CCL5	0.0036054127233747734	0.027018339791215897
eosinophil migration (GO:0072677)	CCL8;CCL5	0.0036054127233747734	0.027018339791215897
positive regulation of alpha-beta T cell proliferation (GO:0046641)	SYK;TGFBR2	0.0036054127233747734	0.027018339791215897
positive regulation of myeloid leukocyte cytokine production involved in immune response (GO:0061081)	CD74;PLCG2	0.0036054127233747734	0.027018339791215897
blood vessel morphogenesis (GO:0048514)	RAMP2;SYK;TGFBR2	0.003915804437813117	0.028986503582348316
peptidyl-tyrosine modification (GO:0018212)	TPST2;HCK;SYK	0.003915804437813117	0.028986503582348316
negative regulation of interleukin-10 production (GO:0032693)	FCGR2B;VSIR	0.004071107650863602	0.029479137791243223
protein-containing complex assembly (GO:0065003)	GSDMD;CD74;BIN2;FAS;NCKAP1L;FERMT3	0.004113396655999414	0.029479137791243223
cellular response to peptide (GO:1901653)	VCAM1;FCGR2B;ICAM1	0.004116518270399899	0.029479137791243223
cellular response to lectin (GO:1990858)	FCER1G;SYK;CLEC10A;PLCG2	0.004128050596796827	0.029479137791243223
cellular response to molecule of bacterial origin (GO:0071219)	CD86;CD14;TNFRSF1B;FCGR2B	0.004128050596796827	0.029479137791243223
stimulatory C-type lectin receptor signaling pathway (GO:0002223)	FCER1G;SYK;CLEC10A;PLCG2	0.004128050596796827	0.029479137791243223
positive regulation of cell migration (GO:0030335)	PTPRC;CCL5;PLCG2;NCKAP1L;VSIR;FERMT3	0.0042648813431795315	0.030278163453917845
regulation of adaptive immune response (GO:0002819)	IRF1;FCGR2B	0.004563160265358056	0.03202125180430451
regulation of B cell differentiation (GO:0045577)	SYK;NCKAP1L	0.004563160265358056	0.03202125180430451
innate immune response activating cell surface receptor signaling pathway (GO:0002220)	FCER1G;SYK;CLEC10A;PLCG2	0.004660768027466826	0.03233843298989427
positive regulation of MAPK cascade (GO:0043410)	CD74;PTPRC;CCL8;CCL5;PLCG2;ICAM1	0.004661635727538301	0.03233843298989427
protein homooligomerization (GO:0051260)	GSDMD;EHD4;TIFA;B2M	0.004943693544823021	0.03397446332714587
B cell differentiation (GO:0030183)	VCAM1;PTPRC;PLCG2	0.004981428725067517	0.03397446332714587
iron ion homeostasis (GO:0055072)	SLC11A1;LCN2;B2M	0.004981428725067517	0.03397446332714587
regulation of T cell cytokine production (GO:0002724)	TNFRSF1B;B2M	0.005081263238737216	0.034080958960370056
positive regulation of neutrophil chemotaxis (GO:0090023)	CD74;NCKAP1L	0.005081263238737216	0.034080958960370056
prostaglandin biosynthetic process (GO:0001516)	CD74;HPGDS	0.005081263238737216	0.034080958960370056
defense response to symbiont (GO:0140546)	PTPRC;IRF1;TLR7;SERINC3	0.0053893606455221125	0.03594881221793322
platelet degranulation (GO:0002576)	LGALS3BP;SRGN;PLEK;FERMT3	0.005543690190215218	0.03632386038174682
negative regulation of lipid storage (GO:0010888)	NFKBIA;PNPLA2	0.005625111821885011	0.03632386038174682
cortical actin cytoskeleton organization (GO:0030866)	PLEK;NCKAP1L	0.005625111821885011	0.03632386038174682
positive regulation of lymphocyte differentiation (GO:0045621)	SYK;NCKAP1L	0.005625111821885011	0.03632386038174682
mesoderm development (GO:0007498)	HCK;IKZF1	0.005625111821885011	0.03632386038174682
myeloid cell development (GO:0061515)	NRROS;NCKAP1L	0.005625111821885011	0.03632386038174682
regulation of innate immune response (GO:0045088)	IRF1;CCL5;FCGR2B	0.005696722479021683	0.0365916459763615
calcium-mediated signaling using intracellular calcium source (GO:0035584)	VCAM1;PTPRC	0.0061944038237758655	0.03937176042965393
positive regulation of T cell cytokine production (GO:0002726)	IL1R1;B2M	0.0061944038237758655	0.03937176042965393
negative regulation of interleukin-2 production (GO:0032703)	PTPRC;HAVCR2	0.006788839592670734	0.042264878284627036
negative regulation of lymphocyte activation (GO:0051250)	TNFAIP8L2;FCGR2B	0.006788839592670734	0.042264878284627036
positive regulation of granulocyte chemotaxis (GO:0071624)	CD74;NCKAP1L	0.006788839592670734	0.042264878284627036
positive regulation of neutrophil migration (GO:1902624)	CD74;NCKAP1L	0.006788839592670734	0.042264878284627036
defense response to virus (GO:0051607)	PTPRC;IRF1;TLR7;SERINC3	0.006885737441145267	0.042649414558930385
positive regulation of peptidyl-tyrosine phosphorylation (GO:0050731)	CD74;PTPRC;CCL5;PLCG2	0.007067272398030229	0.04355161772187156
negative regulation of G protein-coupled receptor signaling pathway (GO:0045744)	CCL5;PLEK	0.007408121998314624	0.04542151568663613
regulation of inflammatory response to antigenic stimulus (GO:0002861)	HCK;RAMP2;SYK;PLCG2	0.00763079716944924	0.046551697305082296
dendritic cell differentiation (GO:0097028)	IRF8;TGFBR2	0.00805195641224154	0.048391460814164504
positive regulation of phospholipase activity (GO:0010518)	GNA13;CCL5	0.00805195641224154	0.048391460814164504
positive regulation of protein targeting to membrane (GO:0090314)	ITGAM;ITGB2	0.00805195641224154	0.048391460814164504
defense response to Gram-negative bacterium (GO:0050829)	GSDMD;SLC11A1;MPEG1	0.008198366435383448	0.04878831790468385
response to molecule of bacterial origin (GO:0002237)	SLC11A1;CD14;FCGR2B	0.008198366435383448	0.04878831790468385
regulation of cytokine-mediated signaling pathway (GO:0001959)	CD74;PTPRC;SYK	0.008510134335572541	0.05039660040675641
negative regulation of sequestering of calcium ion (GO:0051283)	PTPRC;PLCG2	0.008720050690488033	0.05089491124159842
regulation of interferon-alpha production (GO:0032647)	TLR7;HAVCR2	0.008720050690488033	0.05089491124159842
regulation of neutrophil chemotaxis (GO:0090022)	CD74;NCKAP1L	0.008720050690488033	0.05089491124159842
mononuclear cell differentiation (GO:1903131)	IRF8;IKZF1	0.009412115154388159	0.05458346286635761
positive regulation of phosphatidylinositol 3-kinase signaling (GO:0014068)	NCF1;CCL5;PIK3AP1	0.00948691158550367	0.05458346286635761
positive regulation of type I interferon production (GO:0032481)	IRF1;TLR7;CD14	0.00948691158550367	0.05458346286635761
antigen processing and presentation of exogenous peptide antigen via MHC class I (GO:0042590)	FCER1G;NCF1;B2M	0.0098264299874279409	0.05627021700347887
negative regulation of endothelial cell apoptotic process (GO:2000352)	RAMP2;ICAM1	0.010127862575858215	0.05745432321070969
release of sequestered calcium ion into cytosol (GO:0051209)	PTPRC;PLCG2	0.010127862575858215	0.05745432321070969
positive regulation of cell adhesion (GO:0045785)	SYK;CCL5;NCKAP1L	0.010526525897360093	0.05943815088090768
regulation of calcium-mediated signaling (GO:0050848)	PLEK;PLCG2	0.01086700815402934	0.06107661064347972
positive regulation of cytoskeleton organization (GO:0051495)	HCK;PLEK;NCKAP1L	0.011254874130768784	0.06296505619701984
positive regulation of protein kinase activity (GO:0045860)	PTPRC;SLC11A1;CCL5;TGFBR2	0.011385425237031385	0.06306979561142244
negative regulation of interferon-gamma production (GO:0032689)	VSIR;HAVCR2	0.011629269499553745	0.06306979561142244
regulation of protein targeting to membrane (GO:0090313)	ITGAM;ITGB2	0.011629269499553745	0.06306979561142244
regulation of response to biotic stimulus (GO:0002831)	IRF1;FCGR2B	0.011629269499553745	0.06306979561142244
positive regulation of leukocyte migration (GO:0002687)	NCKAP1L;ICAM1	0.011629269499553745	0.06306979561142244
transition metal ion homeostasis (GO:0055076)	SLC11A1;B2M	0.011629269499553745	0.06306979561142244
cellular response to interleukin-1 (GO:0071347)	NFKBIA;CCL8;IL1R1;CCL5	0.011637260475254223	0.06306979561142244
cell projection organization (GO:0030030)	PLEK;NCKAP1L	0.01241436662066965	0.06639225144270025
heterotypic cell-cell adhesion (GO:0034113)	VCAM1;ITGB2	0.01241436662066965	0.06639225144270025
positive regulation of phosphate metabolic process (GO:0045937)	CCL5;NCKAP1L	0.01241436662066965	0.06639225144270025
response to lipopolysaccharide (GO:0032496)	CD86;SLC11A1;CD14;TNFRSF1B	0.012680374358116635	0.06751743188927016
response to interleukin-1 (GO:0070555)	CCL8;IL1R1;CCL5	0.012797079305414915	0.06784128505141357
prostaglandin metabolic process (GO:0006693)	CD74;HPGDS	0.01322202189727877	0.069789280796941
positive regulation of multicellular organismal process (GO:0051240)	SYK;SLC11A1;UCP2;LCN2;TMEM119;TGFBR2	0.013649478799052314	0.07173362451103683
regulation of type I interferon production (GO:0032479)	IRF1;IRF8;CD14	0.01402919876071962	0.07228423530550851
positive regulation of inflammatory response (GO:0050729)	NFKBIA;CEBPA;TLR7	0.01402919876071962	0.07228423530550851
regulation of cellular biosynthetic process (GO:0031326)	CCL5;TNFRSF1B	0.014051960075864917	0.07228423530550851
positive regulation of interleukin-10 production (GO:0032733)	SYK;PLCG2	0.014051960075864917	0.07228423530550851
superoxide metabolic process (GO:0006801)	NRROS;NCF1	0.014051960075864917	0.07228423530550851
positive regulation of signal transduction (GO:0009967)	CD74;TSPAN14;PTPRC;LY86;FAS	0.01425415341271409	0.07301494617314307
protein complex oligomerization (GO:0051259)	GSDMD;EHD4;TIFA	0.014454374839418884	0.0737294582145148
positive regulation of supramolecular fiber organization (GO:1902905)	HCK;PLEK;NCKAP1L	0.014886811622751005	0.07415305163664734
antigen processing and presentation of peptide antigen via MHC class I (GO:0002474)	FCER1G;B2M	0.01490390823669024	0.07415305163664734
regulation of interleukin-17 production (GO:0032660)	NCKAP1L;VSIR	0.01490390823669024	0.07415305163664734
positive regulation of cytokine production involved in immune response (GO:0002720)	PLCG2;B2M	0.01490390823669024	0.07415305163664734
keratan sulfate metabolic process (GO:0042339)	B4GALT1;HEXB	0.01490390823669024	0.07415305163664734
vasculogenesis (GO:0001570)	RAMP2;TGFBR2	0.01490390823669024	0.07415305163664734
negative regulation of extrinsic apoptotic signaling pathway via death domain receptors (GO:1902042)	FAS;ICAM1	0.015777595788599556	0.07786179385105634
positive regulation of interleukin-12 production (GO:0032735)	SYK;PLCG2	0.015777595788599556	0.07786179385105634
positive regulation of immunoglobulin production (GO:0002639)	CD86;PTPRC	0.016672754449740836	0.0819462506153254
regulation of vesicle-mediated transport (GO:0060627)	HCK;PTPRC;SYK	0.017158363894042447	0.08399295873938521
platelet aggregation (GO:0070527)	PLEK;FERMT3	0.017589118223361625	0.08495411189505091
positive regulation of interferon-beta production (GO:0032728)	IRF1;TLR7	0.017589118223361625	0.08495411189505091
protein maturation (GO:0051604)	SRGN;TSPAN14;CTSS	0.01763462619238289	0.08495411189505091
positive regulation of cold-induced thermogenesis (GO:0120162)	SYK;UCP2;LCN2	0.01763462619238289	0.08495411189505091
positive regulation of cell population proliferation (GO:0008284)	CD86;HCK;CD74;PTPRC;CCL5;TMEM119;TGFBR2	0.018089766290186566	0.08680227777188336
negative regulation of epithelial cell apoptotic process (GO:1904036)	RAMP2;ICAM1	0.01852642338958129	0.08854755116122712
cell-matrix adhesion (GO:0007160)	VCAM1;ITGB2;FERMT3	0.019107476063515608	0.09072727786102398
regulated exocytosis (GO:0045055)	LGALS3BP;SRGN;PLEK;FERMT3	0.01913194656706931	0.09072727786102398
positive regulation of production of molecular mediator of immune response (GO:0002702)	CD86;PTPRC	0.019484408486336	0.09203919028175839
calcium-mediated signaling (GO:0019722)	VCAM1;PTPRC;PLCG2	0.020126159000161396	0.09470215901626332
negative regulation of lymphocyte proliferation (GO:0050672)	CD86;FCGR2B	0.020462814286818932	0.09591450403165322
antigen receptor-mediated signaling pathway (GO:0050851)	PTPRC;SYK;PLCG2;NCKAP1L	0.020918624982911586	0.09767388742021026
lymphocyte migration (GO:0072676)	CCL8;CCL5	0.02146138379068478	0.09982421426012
positive regulation of cellular metabolic process (GO:0031325)	NFKBIA;CCL5;TGFBR2	0.021709446943658943	0.10059262820458763
positive regulation of macromolecule metabolic process (GO:0010604)	CD74;RAMP2;SLC11A1;PLCG2;TMEM119;VSIR	0.021891859060335406	0.10105215551044557
protein processing (GO:0016485)	SRGN;CTSS;VSIR	0.022251956816735065	0.10123367032367861
regulation of phosphatidylinositol 3-kinase signaling (GO:0014066)	NCF1;CCL5;PIK3AP1	0.022251956816735065	0.10123367032367861
cortical cytoskeleton organization (GO:0030865)	PLEK;NCKAP1L	0.02247986220328451	0.10123367032367861
T cell differentiation (GO:0030217)	FCER1G;PTPRC	0.02247986220328451	0.10123367032367861
visual system development (GO:0150063)	C1QA;ITGAM	0.02247986220328451	0.10123367032367861
protein phosphorylation (GO:0006468)	HCK;SYK;GMFG;TLR7;SGK1;MERTK;TGFBR2	0.022534990170954165	0.10123367032367861
calcium ion transmembrane import into cytosol (GO:0097553)	PTPRC;PLCG2	0.023517996922924313	0.10123367032367861
regulation of chemokine production (GO:0032642)	CD74;TLR7	0.023517996922924313	0.10123367032367861
regulation of extrinsic apoptotic signaling pathway via death domain receptors (GO:1902041)	FAS;ICAM1	0.023517996922924313	0.10123367032367861
heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules (GO:0007157)	VCAM1;ICAM1	0.023517996922924313	0.10123367032367861
monocyte chemotaxis (GO:0002548)	CCL8;CCL5	0.023517996922924313	0.10123367032367861
cellular response to tumor necrosis factor (GO:0071356)	NFKBIA;CCL8;CCL5;TNFRSF1B	0.02438606600344501	0.10123367032367861
positive regulation of T cell differentiation (GO:0045582)	NCKAP1L;VSIR	0.024575537517548953	0.10123367032367861
protein localization to membrane (GO:0072657)	RAMP2;TSPAN14;EHD4;ITGB2	0.024791526854635437	0.10123367032367861
cellular divalent inorganic cation homeostasis (GO:0072503)	CCL8;SLC11A1;CCL5	0.025075126730236375	0.10123367032367861
Fc-epsilon receptor signaling pathway (GO:0038095)	FCER1G;SYK;PLCG2	0.025075126730236375	0.10123367032367861
regulation of endothelial cell apoptotic process (GO:2000351)	RAMP2;ICAM1	0.02565223571842216	0.10123367032367861
positive regulation of biosynthetic process (GO:0009891)	CCL5;PLCG2	0.02565223571842216	0.10123367032367861
homotypic cell-cell adhesion (GO:0034109)	PLEK;FERMT3	0.02565223571842216	0.10123367032367861
lymphocyte chemotaxis (GO:0048247)	CCL8;CCL5	0.02565223571842216	0.10123367032367861
protein-containing complex subunit organization (GO:0043933)	CD74;FAS;NCKAP1L	0.025661873826710736	0.10123367032367861
Fc receptor signaling pathway (GO:0038093)	FCER1G;SYK;PLCG2	0.025661873826710736	0.10123367032367861
phosphorylation (GO:0016310)	HCK;SYK;GMFG;SGK1;MERTK;TGFBR2	0.02608016553114889	0.10123367032367861
positive regulation of metabolic process (GO:0009893)	SYK;UCP2;LCN2	0.026255984797458387	0.10123367032367861
regulation of receptor signaling pathway via JAK-STAT (GO:0046425)	PTPRC;CCL5	0.026747845393941712	0.10123367032367861
positive regulation of response to biotic stimulus (GO:0002833)	CCL5;LY86	0.026747845393941712	0.10123367032367861
activation of protein kinase activity (GO:0032147)	CD86;SLC11A1;TGFBR2	0.02685745511243421	0.10123367032367861
positive regulation of kinase activity (GO:0033674)	CD74;PTPRC;MERTK	0.02685745511243421	0.10123367032367861
transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169)	HCK;NCF1;SYK;ARPC1B;NCKAP1L;MERTK	0.027205194306292497	0.10123367032367861
calcium ion transport (GO:0006816)	RAMP2;CCL8;CCL5	0.0274662795443096	0.10123367032367861
extracellular matrix organization (GO:0030198)	VCAM1;ITGAM;ITGB2;CTSS;ICAM1	0.02779877959992717	0.10123367032367861
negative regulation of tumor necrosis factor production (GO:0032720)	VSIR;HAVCR2	0.027862122543358334	0.10123367032367861
erythrocyte differentiation (GO:0030218)	NCKAP1L;IKZF1	0.027862122543358334	0.10123367032367861
positive regulation of response to stimulus (GO:0048584)	FCGR2B;B2M	0.027862122543358334	0.10123367032367861
activation of protein kinase C activity (GO:1990051)	CD86	0.027935156143683967	0.10123367032367861
receptor-mediated virion attachment to host cell (GO:0046813)	ICAM1	0.027935156143683967	0.10123367032367861
negative regulation of dendritic cell differentiation (GO:2001199)	FCGR2B	0.027935156143683967	0.10123367032367861
negative regulation of immunoglobulin production (GO:0002638)	FCGR2B	0.027935156143683967	0.10123367032367861
negative regulation of interferon-alpha production (GO:0032687)	HAVCR2	0.027935156143683967	0.10123367032367861
bone marrow development (GO:0048539)	PTPRC	0.027935156143683967	0.10123367032367861
cadmium ion transmembrane transport (GO:0070574)	SLC11A1	0.027935156143683967	0.10123367032367861
cadmium ion transport (GO:0015691)	SLC11A1	0.027935156143683967	0.10123367032367861
negative regulation of leukocyte differentiation (GO:1902106)	FCGR2B	0.027935156143683967	0.10123367032367861
negative regulation of macrophage differentiation (GO:0045650)	C1QC	0.027935156143683967	0.10123367032367861
negative regulation of mast cell activation involved in immune response (GO:0033007)	CD84	0.027935156143683967	0.10123367032367861
negative regulation of myosin-light-chain-phosphatase activity (GO:0035509)	NCKAP1L	0.027935156143683967	0.10123367032367861
regulation of dendritic cell cytokine production (GO:0002730)	PLCG2	0.027935156143683967	0.10123367032367861
regulation of Fc-gamma receptor signaling pathway involved in phagocytosis (GO:1905449)	PTPRC	0.027935156143683967	0.10123367032367861
cellular response to nicotine (GO:0071316)	B2M	0.027935156143683967	0.10123367032367861
regulation of granulocyte colony-stimulating factor production (GO:0071655)	HAVCR2	0.027935156143683967	0.10123367032367861
regulation of hippocampal neuron apoptotic process (GO:0110089)	ITGAM	0.027935156143683967	0.10123367032367861
regulation of microglial cell mediated cytotoxicity (GO:1904149)	ITGAM	0.027935156143683967	0.10123367032367861
disaccharide biosynthetic process (GO:0046351)	B4GALT1	0.027935156143683967	0.10123367032367861
peristalsis (GO:0030432)	TIFAB	0.027935156143683967	0.10123367032367861
positive regulation of CD4-positive, alpha-beta T cell proliferation (GO:2000563)	TGFBR2	0.027935156143683967	0.10123367032367861
positive regulation of CD8-positive, alpha-beta T cell differentiation (GO:0043378)	NCKAP1L	0.027935156143683967	0.10123367032367861
regulation of T-helper 1 cell cytokine production (GO:2000554)	IL1R1	0.027935156143683967	0.10123367032367861
positive regulation of endothelial cell-matrix adhesion via fibronectin (GO:1904906)	RIN2	0.027935156143683967	0.10123367032367861
positive regulation of epithelial to mesenchymal transition involved in endocardial cushion formation (GO:1905007)	TGFBR2	0.027935156143683967	0.10123367032367861
positive regulation of gamma-delta T cell activation (GO:0046645)	NCKAP1L	0.027935156143683967	0.10123367032367861
positive regulation of leukocyte mediated immunity (GO:0002705)	PLCG2	0.027935156143683967	0.10123367032367861
positive regulation of mast cell activation involved in immune response (GO:0033008)	SYK	0.027935156143683967	0.10123367032367861
positive regulation of natural killer cell chemotaxis (GO:2000503)	CCL5	0.027935156143683967	0.10123367032367861
positive regulation of prostaglandin biosynthetic process (GO:0031394)	CD74	0.027935156143683967	0.10123367032367861
thorax and anterior abdomen determination (GO:0007356)	TIFAB	0.027935156143683967	0.10123367032367861
toll-like receptor 2 signaling pathway (GO:0034134)	PIK3AP1	0.027935156143683967	0.10123367032367861
membrane raft distribution (GO:0031580)	PTPRC	0.027935156143683967	0.10123367032367861
positive regulation of T-helper 1 cell cytokine production (GO:2000556)	IL1R1	0.027935156143683967	0.10123367032367861
tricuspid valve development (GO:0003175)	TGFBR2	0.027935156143683967	0.10123367032367861
tricuspid valve morphogenesis (GO:0003186)	TGFBR2	0.027935156143683967	0.10123367032367861
zygotic determination of anterior/posterior axis, embryo (GO:0007354)	TIFAB	0.027935156143683967	0.10123367032367861
mRNA cleavage (GO:0006379)	RNASE4	0.027935156143683967	0.10123367032367861
polyol metabolic process (GO:0019751)	PLCG2;PLD4	0.028994825266323607	0.10476106509915732
adenylate cyclase-activating G protein-coupled receptor signaling pathway (GO:0007189)	ADGRE1;GNA13;RAMP2	0.029336814742982067	0.1056821753649265
negative regulation of tumor necrosis factor superfamily cytokine production (GO:1903556)	VSIR;HAVCR2	0.030145713774935485	0.10736088665879182
positive regulation of endocytosis (GO:0045807)	NCKAP1L;B2M	0.030145713774935485	0.10736088665879182
inositol phosphate metabolic process (GO:0043647)	PLCG2;PLD4	0.030145713774935485	0.10736088665879182
cellular defense response (GO:0006968)	LGALS3BP;NCF1	0.03131455034104185	0.10736088665879182
regulation of interferon-beta production (GO:0032648)	IRF1;TLR7	0.03131455034104185	0.10736088665879182
positive regulation of actin filament polymerization (GO:0030838)	HCK;NCKAP1L	0.03131455034104185	0.10736088665879182
cellular response to organic substance (GO:0071310)	RAMP2;CCL5;TGFBR2	0.03260076923530409	0.10736088665879182
negative regulation of multicellular organismal process (GO:0051241)	SRGN;TIFAB;SLC11A1;FCGR2B	0.03327607339700019	0.10736088665879182
negative regulation of Arp2/3 complex-mediated actin nucleation (GO:0034316)	GMFG	0.03342867805356121	0.10736088665879182
negative regulation of B cell receptor signaling pathway (GO:0050859)	FCGR2B	0.03342867805356121	0.10736088665879182
protein sulfation (GO:0006477)	TPST2	0.03342867805356121	0.10736088665879182
negative regulation of CD8-positive, alpha-beta T cell activation (GO:2001186)	VSIR	0.03342867805356121	0.10736088665879182
amylin receptor signaling pathway (GO:0097647)	RAMP2	0.03342867805356121	0.10736088665879182
negative regulation of mast cell activation (GO:0033004)	CD84	0.03342867805356121	0.10736088665879182
negative regulation of myeloid leukocyte mediated immunity (GO:0002887)	CD84	0.03342867805356121	0.10736088665879182
regulation of digestive system process (GO:0044058)	SGK1	0.03342867805356121	0.10736088665879182
regulation of endothelial cell-matrix adhesion via fibronectin (GO:1904904)	RIN2	0.03342867805356121	0.10736088665879182
cellular response to bacterial lipopeptide (GO:0071221)	CD14	0.03342867805356121	0.10736088665879182
cellular response to cold (GO:0070417)	NFKBIA	0.03342867805356121	0.10736088665879182
negative regulation of relaxation of muscle (GO:1901078)	TIFAB	0.03342867805356121	0.10736088665879182
negative regulation of sequestering of triglyceride (GO:0010891)	PNPLA2	0.03342867805356121	0.10736088665879182
cellular response to iron ion (GO:0071281)	B2M	0.03342867805356121	0.10736088665879182
cellular response to lipoteichoic acid (GO:0071223)	CD14	0.03342867805356121	0.10736088665879182
regulation of macromolecule biosynthetic process (GO:0010556)	TNFRSF1B	0.03342867805356121	0.10736088665879182
detection of virus (GO:0009597)	SERINC3	0.03342867805356121	0.10736088665879182
positive regulation of antigen processing and presentation (GO:0002579)	SLC11A1	0.03342867805356121	0.10736088665879182
regulation of saliva secretion (GO:0046877)	TIFAB	0.03342867805356121	0.10736088665879182
regulation of superoxide metabolic process (GO:0090322)	SYK	0.03342867805356121	0.10736088665879182
positive regulation of cell-cell adhesion mediated by integrin (GO:0033634)	CCL5	0.03342867805356121	0.10736088665879182
regulation of T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell (GO:2001188)	HAVCR2	0.03342867805356121	0.10736088665879182
positive regulation of dendritic cell antigen processing and presentation (GO:0002606)	SLC11A1	0.03342867805356121	0.10736088665879182
regulation of type 2 immune response (GO:0002828)	CD74	0.03342867805356121	0.10736088665879182
positive regulation of I-kappaB phosphorylation (GO:1903721)	PLCG2	0.03342867805356121	0.10736088665879182
response to lipoteichoic acid (GO:0070391)	CD14	0.03342867805356121	0.10736088665879182
positive regulation of killing of cells of other organism (GO:0051712)	SYK	0.03342867805356121	0.10736088665879182
L-serine biosynthetic process (GO:0006564)	SERINC3	0.03342867805356121	0.10736088665879182
